T = 16.7301023890785Ohm
wavelength (nm)	Intesity (arb)
400	160893.52892101847
500	334210.1753108834
600	445574.5659732248
700	480939.61423543905
800	447459.22923641035
900	437807.3438907794
1000	375344.50509349187
1100	325168.1374149088
1200	271968.2456804631
1300	227754.67192718817
1400	195674.687913607
1500	165211.96769060186
1600	138878.19515118492
1700	117941.7389134867
1800	95049.27677196509
1900	84548.02546697596
2000	69590.77724659516
2100	60464.752993614515
2200	51588.34171634251
2300	43400.9158615829
2400	38942.17632669768
2500	32477.68716536887
