T = 2500K
wavelength (nm)	Intesity (arb)
400	766.1982460461488
500	4377.484540329037
600	11611.070976949153
700	22096.291799932114
800	30993.865260477225
900	39116.745336243075
1000	43504.567048309626
1100	46174.24649957538
1200	45903.930758971015
1300	45266.82384390473
1400	40898.41510873453
1500	39419.658412444
1600	36004.117398279406
1700	31467.17687242008
1800	29727.10327294242
1900	25596.70472383685
2000	23788.424147380803
2100	21193.13723673378
2200	19287.6315396967
2300	17138.489493856116
2400	15907.269346976707
2500	13818.72658697453
