T = 14.818839590443687Ohm
wavelength (nm)	Intesity (arb)
400	44260.49873715491
500	114953.80961618615
600	182006.84382938256
700	222153.66559287472
800	229419.5388502083
900	218897.58420596286
1000	213296.01390332312
1100	194341.96925352686
1200	170441.4179693749
1300	150515.0679978906
1400	127726.76649699335
1500	111569.56236683113
1600	96562.67459524689
1700	83096.7548749137
1800	70669.86586093108
1900	60657.19428160023
2000	52448.95344346286
2100	45252.12798849249
2200	38982.91464509873
2300	34060.31597983815
2400	29239.16466295868
2500	26287.41047675307
