T = 3000K
wavelength (nm)	Intesity (arb)
400	8167.5948676781745
500	29581.47559270807
600	60330.05684512224
700	83552.80258548896
800	102678.8119328906
900	111627.18289375184
1000	117826.54321763956
1100	106149.5405247136
1200	100127.72205596564
1300	88528.51237712668
1400	80076.04935444593
1500	73117.40514288581
1600	64083.37777011113
1700	58592.00858613928
1800	50808.11619507066
1900	43766.84977186433
2000	38388.44296015659
2100	33637.55005996533
2200	29699.622667084695
2300	26609.66828950585
2400	22491.39613143073
2500	20908.730300758947
