T = 4000K
wavelength (nm)	Intesity (arb)
400	168470.23232279476
500	322538.8584464507
600	423831.1426264961
700	469877.5960038553
800	443666.1071609358
900	419940.0448069909
1000	372982.87846804137
1100	316995.76785084326
1200	267421.00995100423
1300	231939.61584878268
1400	193190.12137456736
1500	159909.01223494444
1600	138386.3574035523
1700	116081.70990161554
1800	98641.51044487009
1900	78370.50057317138
2000	68895.32797555317
2100	60438.997690138065
2200	52893.88344564705
2300	45498.57694299277
2400	36897.18885107744
2500	31970.528817499904
