T = 4500K
wavelength (nm)	Intesity (arb)
400	438031.19451468834
500	760303.5898051984
600	862699.7988448946
700	830823.7395262006
800	765719.0512075195
900	645570.5102415069
1000	564363.1221184094
1100	470779.10032893886
1200	377255.8103029752
1300	310721.1900151885
1400	259586.74239540557
1500	211558.42118223998
1600	172788.36306100964
1700	146674.77132818056
1800	120389.18009715495
1900	100180.87506767183
2000	84983.91789156487
2100	71844.20285390924
2200	63408.75783846213
2300	51488.431190995325
2400	44981.39356927903
2500	37535.21417341683
