T = 5000K
wavelength (nm)	Intesity (arb)
400	994887.6836574229
500	1389572.035888208
600	1418333.4031961188
700	1365692.598926239
800	1133014.7314250078
900	940216.5226674797
1000	781691.4789628644
1100	628754.2694824428
1200	492981.99179680407
1300	418569.7112615732
1400	323706.4430756039
1500	263723.9246130752
1600	219950.58050656918
1700	178328.43298951155
1800	146127.3619946492
1900	120216.59130147846
2000	101981.836376979
2100	84766.18788430074
2200	73811.43414607768
2300	58427.22431574082
2400	50663.21634420707
2500	44414.30585664863
