T = 1500K
wavelength (nm)	Intesity (arb)
400	0.05135344148127113
500	2.0167396642361277
600	19.93121828142631
700	91.36303300900488
800	260.5765624100442
900	530.3939162843827
1000	969.0028069056067
1100	1449.0991604015815
1200	1835.1178798986095
1300	2311.292471968327
1400	2652.8709286063795
1500	2953.391503097074
1600	3172.593911267304
1700	3501.391756620337
1800	3498.276222386238
1900	3435.962272681953
2000	3542.904966492569
2100	3495.2525658619315
2200	3426.803432698795
2300	3147.5997113102626
2400	3213.111786854153
2500	3061.808922476853
