T = 18.641365187713312Ohm
wavelength (nm)	Intesity (arb)
400	453404.3505984478
500	725015.9386877215
600	902988.2906299208
700	857485.8092957091
800	761889.9192867139
900	710262.5707697151
1000	584745.0747571827
1100	466113.3722618913
1200	380084.47613814677
1300	329443.99159124773
1400	270568.425924448
1500	216719.3964841606
1600	185522.47508794052
1700	147132.69988351516
1800	121209.1651749935
1900	99892.24972995972
2000	89924.21079238676
2100	73255.26337931739
2200	63940.585163401316
2300	53603.53907176371
2400	46013.86150413445
2500	40193.30759346607
