T = 3500K
wavelength (nm)	Intesity (arb)
400	45490.27807710972
500	114375.99583925994
600	177204.50616629346
700	228997.9832756327
800	242811.22062542004
900	235715.48724448387
1000	229124.32266575473
1100	201633.68941764088
1200	176218.99138503385
1300	154774.33029452033
1400	133163.18165070625
1500	116504.04821959486
1600	101766.54184270618
1700	86205.06539250155
1800	74078.0713995525
1900	60887.89503623706
2000	53374.21319628718
2100	47371.11808026921
2200	39472.50459514462
2300	34591.29432069286
2400	30793.474102102206
2500	26926.822429895157
