T = 10.996313993174063Ohm
wavelength (nm)	Intesity (arb)
400	571.5175149076268
500	3315.6368488360968
600	9191.462374748971
700	15637.480854101676
800	23971.03515289878
900	28673.256516673155
1000	32331.560890396275
1100	33258.63332860418
1200	34591.668345516366
1300	33025.39759787759
1400	31220.56595266733
1500	28981.2969168209
1600	26735.40084640805
1700	24611.03572299959
1800	21942.28612663807
1900	20021.500115916697
2000	18125.815739361624
2100	15815.257604558596
2200	14792.92495988364
2300	12984.978625970627
2400	11590.039350510093
2500	10489.378724473649
