T = 12.907576791808875Ohm
wavelength (nm)	Intesity (arb)
400	7018.166260349013
500	25671.026180355326
600	53147.78263788493
700	77515.79927421472
800	89814.86465874719
900	95249.11061155084
1000	95324.14809142906
1100	96324.8277364418
1200	87879.29310977238
1300	78798.9918350794
1400	73021.64227826135
1500	65152.43625471533
1600	56126.153020220394
1700	50515.95792695092
1800	43099.59433479457
1900	37955.492578255806
2000	34600.16879499705
2100	29151.04581091662
2200	27078.271245458
2300	22491.5238387433
2400	20133.63355212166
2500	18020.99597050018
