T = 9.08505119453925Ohm
wavelength (nm)	Intesity (arb)
400	20.30284024466042
500	244.3434197272745
600	1102.671804380563
700	2782.591428176111
800	5301.104571213285
900	7907.026581761883
1000	10307.46169120006
1100	12193.323257981208
1200	13613.000508920788
1300	14263.25343212098
1400	15246.154666862567
1500	14616.97216026121
1600	14305.058243453394
1700	14283.368329001089
1800	13392.124910156055
1900	12529.827288670216
2000	11545.58146841566
2100	11031.902880472331
2200	9702.836982353765
2300	9193.259839030647
2400	8605.58446341192
2500	7673.243667864515
